anio,concepto,valor,unidad,fuente_archivo
2010,1. Cuenta Corriente,-4023.500000000001,millones_usd,bpagos_6.xls
2011,1. Cuenta Corriente,-4334.5999999999985,millones_usd,bpagos_6.xls
2012,1. Cuenta Corriente,-3880.899999999998,millones_usd,bpagos_6.xls
2013,1. Cuenta Corriente,-2567.9000000000024,millones_usd,bpagos_6.xls
2014,1. Cuenta Corriente,-2170.199999999998,millones_usd,bpagos_6.xls
2015,1. Cuenta Corriente,-1280.3000000000002,millones_usd,bpagos_6.xls
2016,1. Cuenta Corriente,-814.7000000000006,millones_usd,bpagos_6.xls
2017,1. Cuenta Corriente,-133.09999999999582,millones_usd,bpagos_6.xls
2018,1. Cuenta Corriente,-1321.4999999999982,millones_usd,bpagos_6.xls
2019,1. Cuenta Corriente,-1187.9000000000042,millones_usd,bpagos_6.xls
2020,1. Cuenta Corriente,-1337.3000000000018,millones_usd,bpagos_6.xls
2021,1. Cuenta Corriente,-2685.2999999999993,millones_usd,bpagos_6.xls
2022,1. Cuenta Corriente,-6548.899999999998,millones_usd,bpagos_6.xls
2023,1. Cuenta Corriente,-4418.400000000005,millones_usd,bpagos_6.xls
2024,1. Cuenta Corriente,-3705.499999999998,millones_usd,bpagos_6.xls
2025,1. Cuenta Corriente,-1487.9000000000033,millones_usd,bpagos_6.xls
2010,1.1 Balanza de Bienes y Servicios,-5526.9000000000015,millones_usd,bpagos_6.xls
2011,1.1 Balanza de Bienes y Servicios,-5934.299999999998,millones_usd,bpagos_6.xls
2012,1.1 Balanza de Bienes y Servicios,-5395.799999999998,millones_usd,bpagos_6.xls
2013,1.1 Balanza de Bienes y Servicios,-3743.2000000000016,millones_usd,bpagos_6.xls
2014,1.1 Balanza de Bienes y Servicios,-3290.299999999998,millones_usd,bpagos_6.xls
2015,1.1 Balanza de Bienes y Servicios,-3096.9000000000005,millones_usd,bpagos_6.xls
2016,1.1 Balanza de Bienes y Servicios,-2619.3999999999996,millones_usd,bpagos_6.xls
2017,1.1 Balanza de Bienes y Servicios,-2049.899999999996,millones_usd,bpagos_6.xls
2018,1.1 Balanza de Bienes y Servicios,-4062.699999999998,millones_usd,bpagos_6.xls
2019,1.1 Balanza de Bienes y Servicios,-4016.8000000000047,millones_usd,bpagos_6.xls
2020,1.1 Balanza de Bienes y Servicios,-5412.500000000001,millones_usd,bpagos_6.xls
2021,1.1 Balanza de Bienes y Servicios,-8089.1,millones_usd,bpagos_6.xls
2022,1.1 Balanza de Bienes y Servicios,-11668.899999999998,millones_usd,bpagos_6.xls
2023,1.1 Balanza de Bienes y Servicios,-8659.700000000004,millones_usd,bpagos_6.xls
2024,1.1 Balanza de Bienes y Servicios,-7519.599999999997,millones_usd,bpagos_6.xls
2025,1.1 Balanza de Bienes y Servicios,-5047.600000000002,millones_usd,bpagos_6.xls
2010,1.1.1 Balanza de Bienes,-8393.900000000001,millones_usd,bpagos_6.xls
2011,1.1.1 Balanza de Bienes,-8939.699999999999,millones_usd,bpagos_6.xls
2012,1.1.1 Balanza de Bienes,-8716.3,millones_usd,bpagos_6.xls
2013,1.1.1 Balanza de Bienes,-7376.800000000001,millones_usd,bpagos_6.xls
2014,1.1.1 Balanza de Bienes,-7374.199999999999,millones_usd,bpagos_6.xls
2015,1.1.1 Balanza de Bienes,-7464.700000000001,millones_usd,bpagos_6.xls
2016,1.1.1 Balanza de Bienes,-7559.0,millones_usd,bpagos_6.xls
2017,1.1.1 Balanza de Bienes,-7599.699999999997,millones_usd,bpagos_6.xls
2018,1.1.1 Balanza de Bienes,-9559.199999999999,millones_usd,bpagos_6.xls
2019,1.1.1 Balanza de Bienes,-9075.100000000002,millones_usd,bpagos_6.xls
2020,1.1.1 Balanza de Bienes,-6803.1,millones_usd,bpagos_6.xls
2021,1.1.1 Balanza de Bienes,-11795.599999999999,millones_usd,bpagos_6.xls
2022,1.1.1 Balanza de Bienes,-17162.399999999998,millones_usd,bpagos_6.xls
2023,1.1.1 Balanza de Bienes,-15863.300000000003,millones_usd,bpagos_6.xls
2024,1.1.1 Balanza de Bienes,-15874.199999999999,millones_usd,bpagos_6.xls
2025,1.1.1 Balanza de Bienes,-13835.300000000001,millones_usd,bpagos_6.xls
2010,Exportaciones,6815.999999999999,millones_usd,bpagos_6.xls
2011,Exportaciones,8361.9,millones_usd,bpagos_6.xls
2012,Exportaciones,8935.5,millones_usd,bpagos_6.xls
2013,Exportaciones,9424.4,millones_usd,bpagos_6.xls
2014,Exportaciones,9898.9,millones_usd,bpagos_6.xls
2015,Exportaciones,9441.8,millones_usd,bpagos_6.xls
2016,Exportaciones,9839.599999999999,millones_usd,bpagos_6.xls
2017,Exportaciones,10134.600000000002,millones_usd,bpagos_6.xls
2018,Exportaciones,10638.1,millones_usd,bpagos_6.xls
2019,Exportaciones,11192.7,millones_usd,bpagos_6.xls
2020,Exportaciones,10301.9,millones_usd,bpagos_6.xls
