anio,concepto,valor,unidad,hoja_origen,fuente_archivo
2000,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.1820093627902692,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2001,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.19757235125907313,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2002,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.2194941635852314,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2003,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.3954048530502149,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2004,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.46901636668254953,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2005,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.3248520087609351,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2006,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.34305564344517336,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2007,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.3115499252722646,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2008,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.3204256262364999,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2009,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.36393312005402567,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2010,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.3660391488336768,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2011,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.3789944948758989,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2012,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.41344659925017296,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2013,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.4514989573716303,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2014,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.4371437994817341,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2015,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.43129630132749247,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2016,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.45101424915051225,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2017,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.47046237769379834,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2018,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.4822106395502883,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2019,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.5041700634450436,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2020,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.6940404201359585,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2021,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.6223505538697891,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2022,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.5861264840823263,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2023,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.5875003237631532,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2024,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.5740502007351674,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2025,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,0.5792571248001552,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2000,A. DEUDA EXTERNA (1+2+3) 3/,0.15175259290645254,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2001,A. DEUDA EXTERNA (1+2+3) 3/,0.16543205752703252,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
2002,A. DEUDA EXTERNA (1+2+3) 3/,0.17578081670757723,ratio_pib,Por Fuente (% PIB),Deuda_Consolidada_Por_Fuente.xls
