anio,concepto,valor,unidad,hoja_origen,fuente_archivo
2000,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,4387.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2001,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,4990.9,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2002,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,5656.4,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2003,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,8242.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2004,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,10874.9,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2005,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,11666.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2006,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,13056.39,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2007,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,13737.400000000001,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2008,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,15440.599999999999,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2009,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,17570.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2010,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,19705.3,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2011,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,21980.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2012,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,25064.9,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2013,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,28267.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2014,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,29328.600000000002,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2015,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,30643.3,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2016,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,34102.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2017,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,37215.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2018,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,40975.47986709904,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2019,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,44928.20028649092,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2020,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,54469.28,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2021,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,59199.740521711974,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2022,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,66764.54999999999,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2023,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,70946.288,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2024,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,71525.42,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2025,DEUDA PUBLICA CONSOLIDADA (A+B) 2/,74057.56,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2000,A. DEUDA EXTERNA (1+2+3) 3/,3658.3,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2001,A. DEUDA EXTERNA (1+2+3) 3/,4179.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2002,A. DEUDA EXTERNA (1+2+3) 3/,4529.9,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2003,A. DEUDA EXTERNA (1+2+3) 3/,5980.8,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2004,A. DEUDA EXTERNA (1+2+3) 3/,6376.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2005,A. DEUDA EXTERNA (1+2+3) 3/,6819.3,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2006,A. DEUDA EXTERNA (1+2+3) 3/,7284.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2007,A. DEUDA EXTERNA (1+2+3) 3/,7593.700000000001,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2008,A. DEUDA EXTERNA (1+2+3) 3/,8171.8,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2009,A. DEUDA EXTERNA (1+2+3) 3/,9374.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2010,A. DEUDA EXTERNA (1+2+3) 3/,11057.4,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2011,A. DEUDA EXTERNA (1+2+3) 3/,12760.9,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2012,A. DEUDA EXTERNA (1+2+3) 3/,13887.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2013,A. DEUDA EXTERNA (1+2+3) 3/,16132.4,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2014,A. DEUDA EXTERNA (1+2+3) 3/,17279.600000000002,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2015,A. DEUDA EXTERNA (1+2+3) 3/,16928.2,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2016,A. DEUDA EXTERNA (1+2+3) 3/,18169.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2017,A. DEUDA EXTERNA (1+2+3) 3/,19124.399999999998,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2018,A. DEUDA EXTERNA (1+2+3) 3/,21860.35,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2019,A. DEUDA EXTERNA (1+2+3) 3/,23676.91,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2020,A. DEUDA EXTERNA (1+2+3) 3/,31007.879999999997,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2021,A. DEUDA EXTERNA (1+2+3) 3/,34278.444,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2022,A. DEUDA EXTERNA (1+2+3) 3/,37448.85,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2023,A. DEUDA EXTERNA (1+2+3) 3/,39952.870800000004,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2024,A. DEUDA EXTERNA (1+2+3) 3/,41813.479999999996,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2025,A. DEUDA EXTERNA (1+2+3) 3/,46596.31,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2000,1. Gobierno Central 4/,2603.4,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2001,1. Gobierno Central 4/,3181.8,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2002,1. Gobierno Central 4/,3531.3,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2003,1. Gobierno Central 4/,4706.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2004,1. Gobierno Central 4/,5446.3,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2005,1. Gobierno Central 4/,5451.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2006,1. Gobierno Central 4/,6237.3,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2007,1. Gobierno Central 4/,6508.8,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2008,1. Gobierno Central 4/,7211.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2009,1. Gobierno Central 4/,8208.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2010,1. Gobierno Central 4/,9940.9,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2011,1. Gobierno Central 4/,11619.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2012,1. Gobierno Central 4/,12865.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2013,1. Gobierno Central 4/,15153.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2014,1. Gobierno Central 4/,16429.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2015,1. Gobierno Central 4/,16240.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2016,1. Gobierno Central 4/,17561.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2017,1. Gobierno Central 4/,18815.3,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2018,1. Gobierno Central 4/,21558.58,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2019,1. Gobierno Central 4/,23377.2,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2020,1. Gobierno Central 4/,30696.55,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2021,1. Gobierno Central 4/,33335.364,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2022,1. Gobierno Central 4/,36351.6,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2023,1. Gobierno Central 4/,38848.1252,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2024,1. Gobierno Central 4/,40734.03,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2025,1. Gobierno Central 4/,45473.28,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2000,2. Resto del SPNF,162.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2001,2. Resto del SPNF,156.1,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2002,2. Resto del SPNF,138.2,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2003,2. Resto del SPNF,471.5,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2004,2. Resto del SPNF,97.7,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2005,2. Resto del SPNF,396.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2006,2. Resto del SPNF,58.2,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2007,2. Resto del SPNF,46.8,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2008,2. Resto del SPNF,7.8,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2009,2. Resto del SPNF,6.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2010,2. Resto del SPNF,6.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2011,2. Resto del SPNF,6.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2012,2. Resto del SPNF,6.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2013,2. Resto del SPNF,6.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2014,2. Resto del SPNF,6.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2015,2. Resto del SPNF,6.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2016,2. Resto del SPNF,6.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2017,2. Resto del SPNF,6.0,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2018,2. Resto del SPNF,5.98,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2019,2. Resto del SPNF,5.97,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2020,2. Resto del SPNF,5.98,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2021,2. Resto del SPNF,5.97,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2022,2. Resto del SPNF,5.96,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2023,2. Resto del SPNF,5.9656,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
2024,2. Resto del SPNF,5.95,millones_usd,Por Fuente (US$),Deuda_Consolidada_Por_Fuente.xls
