anio,pais_origen,valor,unidad,fuente_archivo
1993,España,68.6,millones_usd,inversion_ext_pais.xls
1994,España,16.2,millones_usd,inversion_ext_pais.xls
1995,España,60.8,millones_usd,inversion_ext_pais.xls
1996,España,61.2,millones_usd,inversion_ext_pais.xls
1997,España,52.4,millones_usd,inversion_ext_pais.xls
1998,España,205.6,millones_usd,inversion_ext_pais.xls
1999,España,457.1,millones_usd,inversion_ext_pais.xls
2000,España,190.1,millones_usd,inversion_ext_pais.xls
2001,España,193.38761187,millones_usd,inversion_ext_pais.xls
2002,España,34.99269286,millones_usd,inversion_ext_pais.xls
2003,España,-13.3,millones_usd,inversion_ext_pais.xls
2004,España,126.6,millones_usd,inversion_ext_pais.xls
2005,España,214.5,millones_usd,inversion_ext_pais.xls
2006,España,307.6,millones_usd,inversion_ext_pais.xls
2007,España,604.6,millones_usd,inversion_ext_pais.xls
2008,España,180.9,millones_usd,inversion_ext_pais.xls
2009,España,150.8,millones_usd,inversion_ext_pais.xls
2010,España,299.3,millones_usd,inversion_ext_pais.xls
2011,España,192.4,millones_usd,inversion_ext_pais.xls
2012,España,120.6,millones_usd,inversion_ext_pais.xls
2013,España,17.716137035840507,millones_usd,inversion_ext_pais.xls
1993,Estados Unidos,23.4,millones_usd,inversion_ext_pais.xls
1994,Estados Unidos,45.0,millones_usd,inversion_ext_pais.xls
1995,Estados Unidos,64.3,millones_usd,inversion_ext_pais.xls
1996,Estados Unidos,44.9,millones_usd,inversion_ext_pais.xls
1997,Estados Unidos,157.8,millones_usd,inversion_ext_pais.xls
1998,Estados Unidos,180.4,millones_usd,inversion_ext_pais.xls
1999,Estados Unidos,181.2,millones_usd,inversion_ext_pais.xls
2000,Estados Unidos,201.6,millones_usd,inversion_ext_pais.xls
2001,Estados Unidos,433.46073601,millones_usd,inversion_ext_pais.xls
2002,Estados Unidos,382.10828971000007,millones_usd,inversion_ext_pais.xls
2003,Estados Unidos,461.6,millones_usd,inversion_ext_pais.xls
2004,Estados Unidos,176.6,millones_usd,inversion_ext_pais.xls
2005,Estados Unidos,457.1,millones_usd,inversion_ext_pais.xls
2006,Estados Unidos,662.1,millones_usd,inversion_ext_pais.xls
2007,Estados Unidos,535.5,millones_usd,inversion_ext_pais.xls
2008,Estados Unidos,359.9,millones_usd,inversion_ext_pais.xls
2009,Estados Unidos,455.3,millones_usd,inversion_ext_pais.xls
2010,Estados Unidos,893.8,millones_usd,inversion_ext_pais.xls
2011,Estados Unidos,459.1,millones_usd,inversion_ext_pais.xls
2012,Estados Unidos,579.7,millones_usd,inversion_ext_pais.xls
2013,Estados Unidos,289.26570306831655,millones_usd,inversion_ext_pais.xls
1993,Canadá,71.2,millones_usd,inversion_ext_pais.xls
1994,Canadá,107.0,millones_usd,inversion_ext_pais.xls
1995,Canadá,239.7,millones_usd,inversion_ext_pais.xls
1996,Canadá,-23.3,millones_usd,inversion_ext_pais.xls
1997,Canadá,199.0,millones_usd,inversion_ext_pais.xls
1998,Canadá,127.8,millones_usd,inversion_ext_pais.xls
1999,Canadá,94.8,millones_usd,inversion_ext_pais.xls
2000,Canadá,133.2,millones_usd,inversion_ext_pais.xls
2001,Canadá,10.173837,millones_usd,inversion_ext_pais.xls
2002,Canadá,18.37551,millones_usd,inversion_ext_pais.xls
2003,Canadá,-22.7,millones_usd,inversion_ext_pais.xls
2004,Canadá,274.2,millones_usd,inversion_ext_pais.xls
2005,Canadá,110.7,millones_usd,inversion_ext_pais.xls
2006,Canadá,142.4,millones_usd,inversion_ext_pais.xls
2007,Canadá,113.2,millones_usd,inversion_ext_pais.xls
2008,Canadá,383.3,millones_usd,inversion_ext_pais.xls
2009,Canadá,773.3,millones_usd,inversion_ext_pais.xls
2010,Canadá,663.2,millones_usd,inversion_ext_pais.xls
2011,Canadá,1067.2,millones_usd,inversion_ext_pais.xls
2012,Canadá,850.3,millones_usd,inversion_ext_pais.xls
2013,Canadá,156.26830164648504,millones_usd,inversion_ext_pais.xls
1993,Gran Caimán,1.1,millones_usd,inversion_ext_pais.xls
1994,Gran Caimán,4.7,millones_usd,inversion_ext_pais.xls
1995,Gran Caimán,4.2,millones_usd,inversion_ext_pais.xls
1996,Gran Caimán,1.6,millones_usd,inversion_ext_pais.xls
1997,Gran Caimán,45.6,millones_usd,inversion_ext_pais.xls
1998,Gran Caimán,45.5,millones_usd,inversion_ext_pais.xls
1999,Gran Caimán,179.2,millones_usd,inversion_ext_pais.xls
2000,Gran Caimán,37.0,millones_usd,inversion_ext_pais.xls
2001,Gran Caimán,0.1,millones_usd,inversion_ext_pais.xls
2002,Gran Caimán,-13.679594,millones_usd,inversion_ext_pais.xls
2003,Gran Caimán,-9.1,millones_usd,inversion_ext_pais.xls
2004,Gran Caimán,-62.8,millones_usd,inversion_ext_pais.xls
2005,Gran Caimán,-58.7,millones_usd,inversion_ext_pais.xls
2006,Gran Caimán,-40.8,millones_usd,inversion_ext_pais.xls
2007,Gran Caimán,4.4,millones_usd,inversion_ext_pais.xls
2008,Gran Caimán,1.0,millones_usd,inversion_ext_pais.xls
2009,Gran Caimán,-44.4,millones_usd,inversion_ext_pais.xls
2010,Gran Caimán,35.3,millones_usd,inversion_ext_pais.xls
