fecha,anio,mes,mes_nombre,grupo_residencia_principal,grupo_residencia_detalle,aeropuerto,valor,total_ytd_archivo,unidad,fuente_archivo
2026-01-31,2026,1,Enero,TOTAL PASAJEROS,,TOTAL,945865.9999999957,2849884.0000000354,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,TOTAL PASAJEROS,,TOTAL,878200.0000000288,2849884.0000000354,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,TOTAL PASAJEROS,,TOTAL,1025818.000000011,2849884.0000000354,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,TOTAL PASAJEROS,,LAS AMERICAS,229725.00000000116,639416.0,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,TOTAL PASAJEROS,,LAS AMERICAS,187908.99999999994,639416.0,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,TOTAL PASAJEROS,,LAS AMERICAS,221781.9999999989,639416.0,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,TOTAL PASAJEROS,,PUERTO PLATA,51396.0,162603.00000000032,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,TOTAL PASAJEROS,,PUERTO PLATA,51473.000000000364,162603.00000000032,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,TOTAL PASAJEROS,,PUERTO PLATA,59733.999999999956,162603.00000000032,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,TOTAL PASAJEROS,,PUNTA CANA,539005.9999999944,1686042.000000035,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,TOTAL PASAJEROS,,PUNTA CANA,525255.0000000283,1686042.000000035,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,TOTAL PASAJEROS,,PUNTA CANA,621781.0000000122,1686042.000000035,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,TOTAL PASAJEROS,,LA ROMANA,14537.000000000042,40701.00000000005,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,TOTAL PASAJEROS,,LA ROMANA,12720.000000000011,40701.00000000005,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,TOTAL PASAJEROS,,LA ROMANA,13443.999999999998,40701.00000000005,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,TOTAL PASAJEROS,,MARÍA MONTEZ,2.0,8.0,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,TOTAL PASAJEROS,,MARÍA MONTEZ,4.0,8.0,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,TOTAL PASAJEROS,,MARÍA MONTEZ,2.0,8.0,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,TOTAL PASAJEROS,,CIBAO,98080.00000000001,282958.0,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,TOTAL PASAJEROS,,CIBAO,88226.00000000016,282958.0,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,TOTAL PASAJEROS,,CIBAO,96651.99999999984,282958.0,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,TOTAL PASAJEROS,,LA ISABELA,2482.0,7330.999999999999,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,TOTAL PASAJEROS,,LA ISABELA,2147.999999999999,7330.999999999999,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,TOTAL PASAJEROS,,LA ISABELA,2701.0000000000005,7330.999999999999,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,TOTAL PASAJEROS,,"EL CATEY, SAMANA",10637.99999999999,30824.999999999956,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,TOTAL PASAJEROS,,"EL CATEY, SAMANA",10464.999999999973,30824.999999999956,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,TOTAL PASAJEROS,,"EL CATEY, SAMANA",9721.999999999996,30824.999999999956,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,,TOTAL,120019.38212355785,246239.37911526207,pasajeros,lleg_total_2026.xls
2026-02-28,2026,2,Febrero,RESIDENTES,,TOTAL,54120.29610578713,246239.37911526207,pasajeros,lleg_total_2026.xls
2026-03-31,2026,3,Marzo,RESIDENTES,,TOTAL,72099.7008859171,246239.37911526207,pasajeros,lleg_total_2026.xls
2026-01-31,2026,1,Enero,RESIDENTES,,LAS AMERICAS,78384.8302764628,164014.31052099346,pasajeros,lleg_total_2026.xls
