anio,poblacion_miles,pib_corriente_millones_rd,pib_corriente_percapita_rd,pib_corriente_millones_usd,pib_corriente_percapita_usd,pib_referencia_2018_indice_encadenado
1991,7241.923,123551.90670809915,17060.649044197125,9680.094540212995,1336.674601513023,23.742999029897668
1992,7374.65,145067.2813378576,19671.073384887095,11471.01062488487,1555.4650898530601,26.411110029304833
1993,7510.637,163513.02995394077,21770.86044152324,12987.63752555958,1729.2324906075983,28.35673602127715
1994,7641.639,184769.3946333498,24179.288583686008,14368.755333375173,1880.3237542855888,29.09224823859639
1995,7770.618,214122.96265262854,27555.461181160692,16088.744835870071,2070.4588535776784,30.750503068817835
1996,7897.093,235250.33065920812,29789.484644439177,17516.843635155492,2218.1381978350128,32.58359996439523
1997,8022.922,280362.8239420598,34945.22618343539,19822.344158608408,2470.7138070902856,35.483394483154115
1998,8151.915,318648.99075531843,39088.85099455999,21230.370309055605,2604.3414717959654,37.86285971810917
1999,8275.89,350520.1168735845,42354.37117622208,22002.72493730196,2658.6536236346737,40.11816483806868
2000,8397.802,393302.9683997565,46834.03685866331,24107.001565156086,2870.6322874909515,41.984351743353926
2001,8512.996,427319.0663429686,50196.08447401698,25261.12572347391,2967.360224705135,43.02110083105114
2002,8627.509,477430.18977291696,55338.127120228666,25770.161271249995,2986.975878118469,44.951244099234685
2003,8745.084,628611.0397261673,71881.64684594994,20845.722867682656,2383.707562749844,44.344691137857346
2004,8857.648,935984.7345465854,105669.6692560582,23186.610878342195,2617.6938706914293,45.49125269447233
2005,8968.144,1083445.000855057,120810.3929703913,35911.73726512582,4004.3667078858034,49.781891807924865
2006,9071.458,1261399.6676148865,139051.48076691604,38059.102820740445,4195.478039003261,54.34749190963321
2007,9174.058,1458416.5180562413,158971.80048962423,44093.735535718995,4806.350203554304,58.37920938813574
2008,9279.602,1660566.4702136696,178948.0271043596,48187.781329524994,5192.87156168174,60.28709257445091
2009,9380.152,1734699.4053306282,184932.97393588378,48278.10115893665,5146.835697218622,60.89204517014352
2010,9478.612,1981024.295421395,208999.40786914743,53833.85922954994,5679.508690676435,66.0076744311113
2011,9580.139,2207109.339911416,230383.853502691,57997.14846123279,6053.894255733951,68.1146144955597
2012,9680.963,2381301.7391330223,245977.7750553351,60624.274224570705,6262.215259429327,70.00525210436896
2013,9784.68,2614472.5808399003,267200.62187418493,62608.11801327756,6398.586158492415,73.45982438484609
2014,9883.486,2918452.1186494157,295285.7037131853,67091.4239787607,6788.234837258908,78.68371873458123
2015,9980.243,3196734.133415548,320306.2423846341,71049.29933863386,7118.994932150837,84.18190985065155
2016,10075.045,3480302.452511565,345437.9064819626,75613.13209584344,7504.991997141793,89.83871598060028
2017,10169.172,3758554.7468038434,369602.8296899535,79103.03092638703,7778.709114801778,93.37284687833603
2018,10266.149,4208088.588763321,409899.4266266076,84974.23427088653,8277.128480298361,100.0
2019,10358.32,4572738.117758678,441455.57559128106,89113.1853121866,8603.053903739854,104.89403011672749
2020,10448.499,4439813.976526475,424923.615968808,78481.42334592808,7511.262942737333,96.57692756320556
2021,10535.535,5427464.1189651685,515157.90313118114,95122.82133796382,9028.760413017832,110.10970087770266
2022,10621.938,6257295.202709744,589091.6707205167,113908.09293460243,10723.852175996739,115.87719914421697
2023,10711.155,6764533.295883258,631540.9772226484,120759.57257717979,11274.187758199725,118.4175732231101
2024,10795.677,7402888.491016147,685727.1193845598,124597.84859333772,11541.457621725596,124.28371529003488
2025,10878.267,7897551.2886152305,725993.5142808345,127861.37539890446,11753.836838064783,126.91497980476507
1992,1.832759061370865,17.414036904011667,15.300850125498926,18.501018530677158,16.368268544369855,11.237464130152318
1993,1.8439790362932484,12.71530592285903,10.674491501055414,13.221388683788547,11.171411167508325,7.366695265036256
1994,1.7442195648651477,12.999798661548027,11.062622667725194,10.63409573217271,8.737475411701396,2.593783067160331
1995,1.6878447149885005,15.886596412531958,13.963076646318768,11.97034442155038,10.11182775619028,5.699988590161482
1996,1.6276054234039066,9.86693241343501,8.107370980260924,8.876384167032441,7.132686747295168,5.961193192433427
1997,1.5933584674765626,19.176378267541423,17.307253215468577,13.16162073186453,11.386829256256277,8.899552296024837
1998,1.6078057346188928,13.655935646150752,11.85748459424407,7.103227242857258,5.408463915254131,6.705855709731253
1999,1.5208083008716216,10.001954201304542,8.354096113279354,3.637970591200258,2.0854466446465807,5.956510249754942
2000,1.47309836162637,12.205533852883434,10.576631308732871,9.563709194431084,7.973158367522856,4.651725503441767
2001,1.3717160752301396,8.648828174782011,7.178641519841051,4.787506049636534,3.3695690540263428,2.4693702406905373
2002,1.345155101682181,11.726863455638295,10.243911851079474,2.0150944710396033,0.6610472584360281,4.486503671218074
2003,1.3627919715876402,31.66554046889189,29.895337241498083,-19.109070958982315,-20.196624947257064,-1.3493574505709063
2004,1.287168882540172,48.897279143286255,47.00507555498777,11.229584243819346,9.816066014056645,2.5855666759536007
2005,1.2474643381629136,15.754558900995889,14.32835346313442,54.88135568216967,52.97307117230261,9.431789320617881
2006,1.152010940056286,16.424891583734038,15.098939212121707,5.979564674806042,4.7725731697125156,9.17120650883247
2007,1.1310199529116431,15.618907749823933,14.325859467904166,15.855951054342654,14.560251748956148,7.418405775203581
2008,1.1504614424717943,13.860920364975797,12.56589316671868,9.284869481038953,8.041889204028507,3.268086714964838
2009,1.0835594026554105,4.464316029903912,3.344516800978141,0.18743305236242236,-0.8865203754088071,1.0034529280799802
2010,1.0496631611086826,14.199860179453879,13.013598073433613,11.507822257389819,10.349523955965267,8.401145415092842
2011,1.0711167415651204,11.412532648517029,10.23182115756623,7.733588658265063,6.59186534342507,3.191962271973864
2012,1.0524273186432964,7.892332113849761,6.768669468610128,4.529749880882463,3.4411074078154655,2.775671011002359
2013,1.071350029950537,9.79173860561535,8.627952998629866,3.272358826693903,2.177678240264072,4.934733004499137
2014,1.0098030799167788,11.62680152154671,10.51085945908639,7.160901984838986,6.08960587721927,7.111226297476378
2015,0.9789764461648502,9.53526059200567,8.473332219209468,5.899226943112907,4.872549386130103,6.987711313717909
2016,0.9498967109317675,8.870563120400575,7.846136219583741,6.423473277980563,5.42207247890731,6.719740785145618
2017,0.9342588544269574,7.995060719262412,6.995446288478675,4.615466564881828,3.6471340377741654,3.9338617645636305
2018,0.9536371299452782,11.960284530689535,10.902675439594844,7.422222986579641,6.407481731745975,7.097516401421373
2019,0.8978147502047875,8.665443260131582,7.6985101502518205,4.87083064274006,3.9376629735454287,4.894030116727492
2020,0.8705948454961856,-2.906882874310682,-3.7448750308182923,-11.930627245578421,-12.690737187266791,-7.929052343843168
2021,0.8330000318706112,22.245304592950305,21.235413559362357,21.204250996677615,20.202960299076892,14.012428906107502
2022,0.8201102269604661,15.289480787996368,14.35167103910446,19.748438211158643,18.77435755782038,5.237956529298174
2023,0.8399314701328535,8.106347499057634,7.205891478691612,6.014919103694382,5.131883330458493,2.1922984829236896
2024,0.7891025757726311,9.436795817405127,8.579988332698193,3.1784445193401325,2.3706352001410096,4.953776628974154
2025,0.7650284461085732,6.682024161236356,5.87207268868319,2.619248118976941,1.840142062640382,2.117143431534643
