fecha,anio,trimestre,periodo_archivo,actividad_economica,valor,hoja_origen,fuente_archivo,unidad
2018-03-31,2018,1,E-M,Agropecuario,52441.88018220992,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Subsector Agrícola,38282.058664101125,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,"Ganadería, Silvicultura y Pesca",14159.821518108793,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Industrias,242186.05047411827,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Explotación de Minas y Canteras,19366.779097198236,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Manufactura Local,87074.44545040936,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Industrias de Alimentos,32681.11453060269,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Elaboración de Bebidas y Productos de Tabaco,12160.952405817297,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Fabricación de Productos de la Refinación de Petróleo y Quimicos,7116.072915167257,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Otras Manufacturas,35116.30559882212,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Manufactura Zonas Francas,29020.198069917526,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Construcción,106724.62785659316,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Servicios,625693.5322545785,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Energía y Agua,13360.500725030242,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Comercio,107006.26425962096,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,"Hoteles, Bares y Restaurantes",89242.61036943196,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Transporte y Almacenamiento,72716.32782078054,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Comunicaciones,13341.372653083932,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,"Intermediación Financiera, Seguros y Actividades Conexas",40936.005567213,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Actividades Inmobiliarias y de Alquiler,88862.87226138425,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Enseñanza,45396.4801464059,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Enseñanza de Mercado,20389.77816619358,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Enseñanza No de Mercado,25006.70198021232,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Salud,28800.215540348043,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Salud de Mercado,20564.861453529124,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Salud No de Mercado,8235.35408681892,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Administración Pública y Defensa; Seguridad Social de Afiliación Obligatoria y Otros Servicios,42572.68912146016,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Servicios profesionales,44245.93005881444,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Otras Actividades de Servicios de Mercado,39212.26373100511,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Valor Agregado,920321.4629109068,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Impuestos a la producción netos de subsidios,75302.15395314776,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Producto Interno Bruto,995623.6168640545,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,PONDERACION POR ACTIVIDAD ECONOMICA,2018.0,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Agropecuario,0.05267239476237785,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Subsector Agrícola,0.038450332048851225,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,"Ganadería, Silvicultura y Pesca",0.01422206271352663,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Industrias,0.24325060833424073,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Explotación de Minas y Canteras,0.019451908099768024,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Manufactura Local,0.08745719162897155,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Industrias de Alimentos,0.0328247682930015,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Elaboración de Bebidas y Productos de Tabaco,0.012214407332080986,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Fabricación de Productos de la Refinación de Petróleo y Quimicos,0.0071473524679747606,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Otras Manufacturas,0.0352706635359143,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Manufactura Zonas Francas,0.029147759834507857,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Construcción,0.10719374877099332,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Servicios,0.6284438432922516,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Energía y Agua,0.01341922840994091,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Comercio,0.10747662314064205,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,"Hoteles, Bares y Restaurantes",0.08963488697719132,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Transporte y Almacenamiento,0.07303596116956058,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
2018-03-31,2018,1,E-M,Comunicaciones,0.013400016258257968,PIB$_Trim,pib_origen_2018.xlsx,millones_rd
