fecha,anio,mes,mes_nombre,valor,unidad,fuente_archivo
2010-01-31,2010,1,Enero,280155040.6400002,usd,Remesas_6.xlsx
2010-02-28,2010,2,Febrero,304097868.00999975,usd,Remesas_6.xlsx
2010-03-31,2010,3,Marzo,339939224.74232495,usd,Remesas_6.xlsx
2010-04-30,2010,4,Abril,290804738.1099995,usd,Remesas_6.xlsx
2010-05-31,2010,5,Mayo,303781236.3100015,usd,Remesas_6.xlsx
2010-06-30,2010,6,Junio,280461643.9623707,usd,Remesas_6.xlsx
2010-07-31,2010,7,Julio,337133292.8800004,usd,Remesas_6.xlsx
2010-08-31,2010,8,Agosto,314046412.90999967,usd,Remesas_6.xlsx
2010-09-30,2010,9,Septiembre,294098116.39648396,usd,Remesas_6.xlsx
2010-10-31,2010,10,Octubre,306398493.56000024,usd,Remesas_6.xlsx
2010-11-30,2010,11,Noviembre,282056928.19000006,usd,Remesas_6.xlsx
2010-12-31,2010,12,Diciembre,349959487.3734483,usd,Remesas_6.xlsx
2011-01-31,2011,1,Enero,299479413.8699999,usd,Remesas_6.xlsx
2011-02-28,2011,2,Febrero,322128447.48000014,usd,Remesas_6.xlsx
2011-03-31,2011,3,Marzo,366434938.8599996,usd,Remesas_6.xlsx
2011-04-30,2011,4,Abril,351856237.36999965,usd,Remesas_6.xlsx
2011-05-31,2011,5,Mayo,346451193.1299995,usd,Remesas_6.xlsx
2011-06-30,2011,6,Junio,339984796.67999995,usd,Remesas_6.xlsx
2011-07-31,2011,7,Julio,369679377.37999976,usd,Remesas_6.xlsx
2011-08-31,2011,8,Agosto,345464139.6500006,usd,Remesas_6.xlsx
2011-09-30,2011,9,Septiembre,316408208.43999887,usd,Remesas_6.xlsx
2011-10-31,2011,10,Octubre,301942891.3300002,usd,Remesas_6.xlsx
2011-11-30,2011,11,Noviembre,289377897.25000036,usd,Remesas_6.xlsx
2011-12-31,2011,12,Diciembre,359182975.5799996,usd,Remesas_6.xlsx
2012-01-31,2012,1,Enero,300039839.75999975,usd,Remesas_6.xlsx
2012-02-29,2012,2,Febrero,366658552.9399996,usd,Remesas_6.xlsx
2012-03-31,2012,3,Marzo,409431620.6299999,usd,Remesas_6.xlsx
2012-04-30,2012,4,Abril,327994910.2199999,usd,Remesas_6.xlsx
2012-05-31,2012,5,Mayo,341065591.3899988,usd,Remesas_6.xlsx
2012-06-30,2012,6,Junio,345278844.8929951,usd,Remesas_6.xlsx
2012-07-31,2012,7,Julio,367180358.75999916,usd,Remesas_6.xlsx
2012-08-31,2012,8,Agosto,370319304.54999954,usd,Remesas_6.xlsx
2012-09-30,2012,9,Septiembre,315846701.7642428,usd,Remesas_6.xlsx
2012-10-31,2012,10,Octubre,263515509.22999877,usd,Remesas_6.xlsx
2012-11-30,2012,11,Noviembre,313699778.5499998,usd,Remesas_6.xlsx
2012-12-31,2012,12,Diciembre,324340571.7422505,usd,Remesas_6.xlsx
2013-01-31,2013,1,Enero,327746152.31999946,usd,Remesas_6.xlsx
2013-02-28,2013,2,Febrero,366990850.93999934,usd,Remesas_6.xlsx
2013-03-31,2013,3,Marzo,421949291.83153844,usd,Remesas_6.xlsx
2013-04-30,2013,4,Abril,290738915.36999923,usd,Remesas_6.xlsx
2013-05-31,2013,5,Mayo,314883789.3100004,usd,Remesas_6.xlsx
2013-06-30,2013,6,Junio,328727490.96998394,usd,Remesas_6.xlsx
2013-07-31,2013,7,Julio,418638789.7499983,usd,Remesas_6.xlsx
2013-08-31,2013,8,Agosto,394026711.14999866,usd,Remesas_6.xlsx
2013-09-30,2013,9,Septiembre,262324566.05070615,usd,Remesas_6.xlsx
2013-10-31,2013,10,Octubre,364187035.07999796,usd,Remesas_6.xlsx
2013-11-30,2013,11,Noviembre,335469235.4300002,usd,Remesas_6.xlsx
2013-12-31,2013,12,Diciembre,436610264.3115614,usd,Remesas_6.xlsx
2014-01-31,2014,1,Enero,323273997.11000055,usd,Remesas_6.xlsx
2014-02-28,2014,2,Febrero,388971034.2399996,usd,Remesas_6.xlsx
2014-03-31,2014,3,Marzo,459764365.05432606,usd,Remesas_6.xlsx
2014-04-30,2014,4,Abril,389133287.7000006,usd,Remesas_6.xlsx
2014-05-31,2014,5,Mayo,414930543.79000026,usd,Remesas_6.xlsx
2014-06-30,2014,6,Junio,374680832.4453189,usd,Remesas_6.xlsx
2014-07-31,2014,7,Julio,418464147.85999846,usd,Remesas_6.xlsx
2014-08-31,2014,8,Agosto,430715640.62000096,usd,Remesas_6.xlsx
2014-09-30,2014,9,Septiembre,288498699.2100006,usd,Remesas_6.xlsx
2014-10-31,2014,10,Octubre,380250525.2699994,usd,Remesas_6.xlsx
2014-11-30,2014,11,Noviembre,356908314.1000005,usd,Remesas_6.xlsx
2014-12-31,2014,12,Diciembre,345729759.4699987,usd,Remesas_6.xlsx
2015-01-31,2015,1,Enero,338759493.74000007,usd,Remesas_6.xlsx
2015-02-28,2015,2,Febrero,399184864.1300006,usd,Remesas_6.xlsx
2015-03-31,2015,3,Marzo,462136462.3499118,usd,Remesas_6.xlsx
2015-04-30,2015,4,Abril,402542804.24999887,usd,Remesas_6.xlsx
2015-05-31,2015,5,Mayo,439577484.5399995,usd,Remesas_6.xlsx
2015-06-30,2015,6,Junio,430157969.2112071,usd,Remesas_6.xlsx
2015-07-31,2015,7,Julio,452074045.67999923,usd,Remesas_6.xlsx
2015-08-31,2015,8,Agosto,446852480.9099995,usd,Remesas_6.xlsx
2015-09-30,2015,9,Septiembre,362771798.51993144,usd,Remesas_6.xlsx
2015-10-31,2015,10,Octubre,395678984.6699996,usd,Remesas_6.xlsx
2015-11-30,2015,11,Noviembre,344124030.73000073,usd,Remesas_6.xlsx
2015-12-31,2015,12,Diciembre,486893809.3362587,usd,Remesas_6.xlsx
2016-01-31,2016,1,Enero,384190402.29999906,usd,Remesas_6.xlsx
2016-02-29,2016,2,Febrero,466006216.0199992,usd,Remesas_6.xlsx
2016-03-31,2016,3,Marzo,439136355.7345225,usd,Remesas_6.xlsx
2016-04-30,2016,4,Abril,454337108.3599988,usd,Remesas_6.xlsx
2016-05-31,2016,5,Mayo,399579648.0500004,usd,Remesas_6.xlsx
2016-06-30,2016,6,Junio,446862544.5636825,usd,Remesas_6.xlsx
2016-07-31,2016,7,Julio,477208280.3599992,usd,Remesas_6.xlsx
2016-08-31,2016,8,Agosto,485613039.89999664,usd,Remesas_6.xlsx
2016-09-30,2016,9,Septiembre,355070607.74830353,usd,Remesas_6.xlsx
2016-10-31,2016,10,Octubre,433734541.60000294,usd,Remesas_6.xlsx
2016-11-30,2016,11,Noviembre,415079221.94000006,usd,Remesas_6.xlsx
2016-12-31,2016,12,Diciembre,504028585.7766863,usd,Remesas_6.xlsx
2017-01-31,2017,1,Enero,440926798.00999856,usd,Remesas_6.xlsx
2017-02-28,2017,2,Febrero,454346152.8199968,usd,Remesas_6.xlsx
2017-03-31,2017,3,Marzo,559635999.7013528,usd,Remesas_6.xlsx
2017-04-30,2017,4,Abril,465148169.8499978,usd,Remesas_6.xlsx
