fecha,anio,mes,mes_nombre,medida,valor,unidad,fuente_archivo
1985-01-31,1985,1,Enero,BRUTAS,255.0,millones_usd,reservas_internacionales.xlsx
1985-02-28,1985,2,Febrero,BRUTAS,273.0,millones_usd,reservas_internacionales.xlsx
1985-03-31,1985,3,Marzo,BRUTAS,312.7,millones_usd,reservas_internacionales.xlsx
1985-04-30,1985,4,Abril,BRUTAS,320.3,millones_usd,reservas_internacionales.xlsx
1985-05-31,1985,5,Mayo,BRUTAS,232.3,millones_usd,reservas_internacionales.xlsx
1985-06-30,1985,6,Junio,BRUTAS,287.5,millones_usd,reservas_internacionales.xlsx
1985-07-31,1985,7,Julio,BRUTAS,292.7,millones_usd,reservas_internacionales.xlsx
1985-08-31,1985,8,Agosto,BRUTAS,278.0,millones_usd,reservas_internacionales.xlsx
1985-09-30,1985,9,Septiembre,BRUTAS,222.3,millones_usd,reservas_internacionales.xlsx
1985-10-31,1985,10,Octubre,BRUTAS,205.7,millones_usd,reservas_internacionales.xlsx
1985-11-30,1985,11,Noviembre,BRUTAS,229.4,millones_usd,reservas_internacionales.xlsx
1985-12-31,1985,12,Diciembre,BRUTAS,397.2,millones_usd,reservas_internacionales.xlsx
1985-01-31,1985,1,Enero,NETAS,-381.1,millones_usd,reservas_internacionales.xlsx
1985-02-28,1985,2,Febrero,NETAS,-358.8,millones_usd,reservas_internacionales.xlsx
1985-03-31,1985,3,Marzo,NETAS,-345.7,millones_usd,reservas_internacionales.xlsx
1985-04-30,1985,4,Abril,NETAS,-325.7,millones_usd,reservas_internacionales.xlsx
1985-05-31,1985,5,Mayo,NETAS,-356.9,millones_usd,reservas_internacionales.xlsx
1985-06-30,1985,6,Junio,NETAS,-285.7,millones_usd,reservas_internacionales.xlsx
1985-07-31,1985,7,Julio,NETAS,-290.1,millones_usd,reservas_internacionales.xlsx
1985-08-31,1985,8,Agosto,NETAS,-309.4,millones_usd,reservas_internacionales.xlsx
1985-09-30,1985,9,Septiembre,NETAS,-310.1,millones_usd,reservas_internacionales.xlsx
1985-10-31,1985,10,Octubre,NETAS,-360.3,millones_usd,reservas_internacionales.xlsx
1985-11-30,1985,11,Noviembre,NETAS,-348.2,millones_usd,reservas_internacionales.xlsx
1985-12-31,1985,12,Diciembre,NETAS,-248.0,millones_usd,reservas_internacionales.xlsx
1986-01-31,1986,1,Enero,BRUTAS,272.2,millones_usd,reservas_internacionales.xlsx
1986-02-28,1986,2,Febrero,BRUTAS,264.0,millones_usd,reservas_internacionales.xlsx
1986-03-31,1986,3,Marzo,BRUTAS,257.3,millones_usd,reservas_internacionales.xlsx
1986-04-30,1986,4,Abril,BRUTAS,265.7,millones_usd,reservas_internacionales.xlsx
1986-05-31,1986,5,Mayo,BRUTAS,203.6,millones_usd,reservas_internacionales.xlsx
1986-06-30,1986,6,Junio,BRUTAS,238.9,millones_usd,reservas_internacionales.xlsx
1986-07-31,1986,7,Julio,BRUTAS,292.1,millones_usd,reservas_internacionales.xlsx
1986-08-31,1986,8,Agosto,BRUTAS,299.7,millones_usd,reservas_internacionales.xlsx
1986-09-30,1986,9,Septiembre,BRUTAS,339.5,millones_usd,reservas_internacionales.xlsx
1986-10-31,1986,10,Octubre,BRUTAS,390.1,millones_usd,reservas_internacionales.xlsx
1986-11-30,1986,11,Noviembre,BRUTAS,403.8,millones_usd,reservas_internacionales.xlsx
1986-12-31,1986,12,Diciembre,BRUTAS,429.6,millones_usd,reservas_internacionales.xlsx
1986-01-31,1986,1,Enero,NETAS,-316.4,millones_usd,reservas_internacionales.xlsx
1986-02-28,1986,2,Febrero,NETAS,-350.6,millones_usd,reservas_internacionales.xlsx
1986-03-31,1986,3,Marzo,NETAS,-339.7,millones_usd,reservas_internacionales.xlsx
1986-04-30,1986,4,Abril,NETAS,-362.5,millones_usd,reservas_internacionales.xlsx
1986-05-31,1986,5,Mayo,NETAS,-354.8,millones_usd,reservas_internacionales.xlsx
1986-06-30,1986,6,Junio,NETAS,-336.7,millones_usd,reservas_internacionales.xlsx
1986-07-31,1986,7,Julio,NETAS,-283.8,millones_usd,reservas_internacionales.xlsx
1986-08-31,1986,8,Agosto,NETAS,-274.0,millones_usd,reservas_internacionales.xlsx
1986-09-30,1986,9,Septiembre,NETAS,-218.5,millones_usd,reservas_internacionales.xlsx
1986-10-31,1986,10,Octubre,NETAS,-157.3,millones_usd,reservas_internacionales.xlsx
1986-11-30,1986,11,Noviembre,NETAS,-150.6,millones_usd,reservas_internacionales.xlsx
1986-12-31,1986,12,Diciembre,NETAS,-151.8,millones_usd,reservas_internacionales.xlsx
1987-01-31,1987,1,Enero,BRUTAS,416.0,millones_usd,reservas_internacionales.xlsx
1987-02-28,1987,2,Febrero,BRUTAS,429.5,millones_usd,reservas_internacionales.xlsx
1987-03-31,1987,3,Marzo,BRUTAS,433.6,millones_usd,reservas_internacionales.xlsx
1987-04-30,1987,4,Abril,BRUTAS,465.8,millones_usd,reservas_internacionales.xlsx
1987-05-31,1987,5,Mayo,BRUTAS,406.5,millones_usd,reservas_internacionales.xlsx
1987-06-30,1987,6,Junio,BRUTAS,386.9,millones_usd,reservas_internacionales.xlsx
1987-07-31,1987,7,Julio,BRUTAS,356.4,millones_usd,reservas_internacionales.xlsx
1987-08-31,1987,8,Agosto,BRUTAS,334.6,millones_usd,reservas_internacionales.xlsx
1987-09-30,1987,9,Septiembre,BRUTAS,242.4,millones_usd,reservas_internacionales.xlsx
1987-10-31,1987,10,Octubre,BRUTAS,238.7,millones_usd,reservas_internacionales.xlsx
1987-11-30,1987,11,Noviembre,BRUTAS,190.2,millones_usd,reservas_internacionales.xlsx
1987-12-31,1987,12,Diciembre,BRUTAS,235.2,millones_usd,reservas_internacionales.xlsx
1987-01-31,1987,1,Enero,NETAS,-155.4,millones_usd,reservas_internacionales.xlsx
1987-02-28,1987,2,Febrero,NETAS,-135.1,millones_usd,reservas_internacionales.xlsx
1987-03-31,1987,3,Marzo,NETAS,-148.4,millones_usd,reservas_internacionales.xlsx
1987-04-30,1987,4,Abril,NETAS,-124.2,millones_usd,reservas_internacionales.xlsx
1987-05-31,1987,5,Mayo,NETAS,-129.0,millones_usd,reservas_internacionales.xlsx
1987-06-30,1987,6,Junio,NETAS,-166.3,millones_usd,reservas_internacionales.xlsx
1987-07-31,1987,7,Julio,NETAS,-197.3,millones_usd,reservas_internacionales.xlsx
1987-08-31,1987,8,Agosto,NETAS,-244.2,millones_usd,reservas_internacionales.xlsx
1987-09-30,1987,9,Septiembre,NETAS,-285.7,millones_usd,reservas_internacionales.xlsx
1987-10-31,1987,10,Octubre,NETAS,-304.9,millones_usd,reservas_internacionales.xlsx
1987-11-30,1987,11,Noviembre,NETAS,-364.8,millones_usd,reservas_internacionales.xlsx
1987-12-31,1987,12,Diciembre,NETAS,-357.9,millones_usd,reservas_internacionales.xlsx
1988-01-31,1988,1,Enero,BRUTAS,185.3,millones_usd,reservas_internacionales.xlsx
1988-02-29,1988,2,Febrero,BRUTAS,188.5,millones_usd,reservas_internacionales.xlsx
1988-03-31,1988,3,Marzo,BRUTAS,222.5,millones_usd,reservas_internacionales.xlsx
1988-04-30,1988,4,Abril,BRUTAS,216.9,millones_usd,reservas_internacionales.xlsx
1988-05-31,1988,5,Mayo,BRUTAS,197.8,millones_usd,reservas_internacionales.xlsx
1988-06-30,1988,6,Junio,BRUTAS,224.1,millones_usd,reservas_internacionales.xlsx
1988-07-31,1988,7,Julio,BRUTAS,237.0,millones_usd,reservas_internacionales.xlsx
1988-08-31,1988,8,Agosto,BRUTAS,241.9,millones_usd,reservas_internacionales.xlsx
1988-09-30,1988,9,Septiembre,BRUTAS,195.3,millones_usd,reservas_internacionales.xlsx
1988-10-31,1988,10,Octubre,BRUTAS,204.1,millones_usd,reservas_internacionales.xlsx
1988-11-30,1988,11,Noviembre,BRUTAS,211.9,millones_usd,reservas_internacionales.xlsx
1988-12-31,1988,12,Diciembre,BRUTAS,309.4,millones_usd,reservas_internacionales.xlsx
1988-01-31,1988,1,Enero,NETAS,-213.3,millones_usd,reservas_internacionales.xlsx
1988-02-29,1988,2,Febrero,NETAS,-218.1,millones_usd,reservas_internacionales.xlsx
1988-03-31,1988,3,Marzo,NETAS,-205.2,millones_usd,reservas_internacionales.xlsx
1988-04-30,1988,4,Abril,NETAS,-221.3,millones_usd,reservas_internacionales.xlsx
1988-05-31,1988,5,Mayo,NETAS,-199.0,millones_usd,reservas_internacionales.xlsx
1988-06-30,1988,6,Junio,NETAS,-178.3,millones_usd,reservas_internacionales.xlsx
1988-07-31,1988,7,Julio,NETAS,-165.5,millones_usd,reservas_internacionales.xlsx
1988-08-31,1988,8,Agosto,NETAS,-173.9,millones_usd,reservas_internacionales.xlsx
1988-09-30,1988,9,Septiembre,NETAS,-171.5,millones_usd,reservas_internacionales.xlsx
1988-10-31,1988,10,Octubre,NETAS,-180.5,millones_usd,reservas_internacionales.xlsx
1988-11-30,1988,11,Noviembre,NETAS,-181.2,millones_usd,reservas_internacionales.xlsx
1988-12-31,1988,12,Diciembre,NETAS,-103.3,millones_usd,reservas_internacionales.xlsx
1989-01-31,1989,1,Enero,BRUTAS,238.7,millones_usd,reservas_internacionales.xlsx
1989-02-28,1989,2,Febrero,BRUTAS,238.9,millones_usd,reservas_internacionales.xlsx
1989-03-31,1989,3,Marzo,BRUTAS,242.3,millones_usd,reservas_internacionales.xlsx
1989-04-30,1989,4,Abril,BRUTAS,248.9,millones_usd,reservas_internacionales.xlsx
1989-05-31,1989,5,Mayo,BRUTAS,211.9,millones_usd,reservas_internacionales.xlsx
1989-06-30,1989,6,Junio,BRUTAS,220.9,millones_usd,reservas_internacionales.xlsx
1989-07-31,1989,7,Julio,BRUTAS,179.0,millones_usd,reservas_internacionales.xlsx
1989-08-31,1989,8,Agosto,BRUTAS,177.5,millones_usd,reservas_internacionales.xlsx
1989-09-30,1989,9,Septiembre,BRUTAS,199.4,millones_usd,reservas_internacionales.xlsx
1989-10-31,1989,10,Octubre,BRUTAS,210.8,millones_usd,reservas_internacionales.xlsx
1989-11-30,1989,11,Noviembre,BRUTAS,203.4,millones_usd,reservas_internacionales.xlsx
1989-12-31,1989,12,Diciembre,BRUTAS,221.2,millones_usd,reservas_internacionales.xlsx
1989-01-31,1989,1,Enero,NETAS,-107.3,millones_usd,reservas_internacionales.xlsx
1989-02-28,1989,2,Febrero,NETAS,-120.7,millones_usd,reservas_internacionales.xlsx
1989-03-31,1989,3,Marzo,NETAS,-120.8,millones_usd,reservas_internacionales.xlsx
1989-04-30,1989,4,Abril,NETAS,-124.1,millones_usd,reservas_internacionales.xlsx
1989-05-31,1989,5,Mayo,NETAS,-103.1,millones_usd,reservas_internacionales.xlsx
1989-06-30,1989,6,Junio,NETAS,-117.7,millones_usd,reservas_internacionales.xlsx
1989-07-31,1989,7,Julio,NETAS,-170.8,millones_usd,reservas_internacionales.xlsx
1989-08-31,1989,8,Agosto,NETAS,-190.7,millones_usd,reservas_internacionales.xlsx
1989-09-30,1989,9,Septiembre,NETAS,-178.8,millones_usd,reservas_internacionales.xlsx
1989-10-31,1989,10,Octubre,NETAS,-175.8,millones_usd,reservas_internacionales.xlsx
1989-11-30,1989,11,Noviembre,NETAS,-177.5,millones_usd,reservas_internacionales.xlsx
1989-12-31,1989,12,Diciembre,NETAS,-273.6,millones_usd,reservas_internacionales.xlsx
1990-01-31,1990,1,Enero,BRUTAS,226.0,millones_usd,reservas_internacionales.xlsx
1990-02-28,1990,2,Febrero,BRUTAS,238.6,millones_usd,reservas_internacionales.xlsx
1990-03-31,1990,3,Marzo,BRUTAS,230.5,millones_usd,reservas_internacionales.xlsx
1990-04-30,1990,4,Abril,BRUTAS,211.2,millones_usd,reservas_internacionales.xlsx
1990-05-31,1990,5,Mayo,BRUTAS,190.4,millones_usd,reservas_internacionales.xlsx
1990-06-30,1990,6,Junio,BRUTAS,171.5,millones_usd,reservas_internacionales.xlsx
1990-07-31,1990,7,Julio,BRUTAS,185.6,millones_usd,reservas_internacionales.xlsx
1990-08-31,1990,8,Agosto,BRUTAS,219.9,millones_usd,reservas_internacionales.xlsx
1990-09-30,1990,9,Septiembre,BRUTAS,191.5,millones_usd,reservas_internacionales.xlsx
1990-10-31,1990,10,Octubre,BRUTAS,165.2,millones_usd,reservas_internacionales.xlsx
1990-11-30,1990,11,Noviembre,BRUTAS,177.1,millones_usd,reservas_internacionales.xlsx
1990-12-31,1990,12,Diciembre,BRUTAS,180.2,millones_usd,reservas_internacionales.xlsx
1990-01-31,1990,1,Enero,NETAS,-179.2,millones_usd,reservas_internacionales.xlsx
1990-02-28,1990,2,Febrero,NETAS,-160.5,millones_usd,reservas_internacionales.xlsx
1990-03-31,1990,3,Marzo,NETAS,-168.8,millones_usd,reservas_internacionales.xlsx
1990-04-30,1990,4,Abril,NETAS,-180.3,millones_usd,reservas_internacionales.xlsx
1990-05-31,1990,5,Mayo,NETAS,-197.7,millones_usd,reservas_internacionales.xlsx
1990-06-30,1990,6,Junio,NETAS,-206.5,millones_usd,reservas_internacionales.xlsx
1990-07-31,1990,7,Julio,NETAS,-191.5,millones_usd,reservas_internacionales.xlsx
1990-08-31,1990,8,Agosto,NETAS,-158.4,millones_usd,reservas_internacionales.xlsx
1990-09-30,1990,9,Septiembre,NETAS,-177.4,millones_usd,reservas_internacionales.xlsx
1990-10-31,1990,10,Octubre,NETAS,-224.9,millones_usd,reservas_internacionales.xlsx
1990-11-30,1990,11,Noviembre,NETAS,-189.8,millones_usd,reservas_internacionales.xlsx
1990-12-31,1990,12,Diciembre,NETAS,-197.8,millones_usd,reservas_internacionales.xlsx
1991-01-31,1991,1,Enero,BRUTAS,186.0,millones_usd,reservas_internacionales.xlsx
1991-02-28,1991,2,Febrero,BRUTAS,209.8,millones_usd,reservas_internacionales.xlsx
1991-03-31,1991,3,Marzo,BRUTAS,239.8,millones_usd,reservas_internacionales.xlsx
1991-04-30,1991,4,Abril,BRUTAS,276.4,millones_usd,reservas_internacionales.xlsx
1991-05-31,1991,5,Mayo,BRUTAS,289.7,millones_usd,reservas_internacionales.xlsx
1991-06-30,1991,6,Junio,BRUTAS,341.4,millones_usd,reservas_internacionales.xlsx
1991-07-31,1991,7,Julio,BRUTAS,334.8,millones_usd,reservas_internacionales.xlsx
1991-08-31,1991,8,Agosto,BRUTAS,362.2,millones_usd,reservas_internacionales.xlsx
1991-09-30,1991,9,Septiembre,BRUTAS,432.5,millones_usd,reservas_internacionales.xlsx
1991-10-31,1991,10,Octubre,BRUTAS,446.1,millones_usd,reservas_internacionales.xlsx
1991-11-30,1991,11,Noviembre,BRUTAS,482.5,millones_usd,reservas_internacionales.xlsx
1991-12-31,1991,12,Diciembre,BRUTAS,500.1,millones_usd,reservas_internacionales.xlsx
1991-01-31,1991,1,Enero,NETAS,-185.0,millones_usd,reservas_internacionales.xlsx
1991-02-28,1991,2,Febrero,NETAS,-164.5,millones_usd,reservas_internacionales.xlsx
1991-03-31,1991,3,Marzo,NETAS,-122.9,millones_usd,reservas_internacionales.xlsx
1991-04-30,1991,4,Abril,NETAS,-65.9,millones_usd,reservas_internacionales.xlsx
1991-05-31,1991,5,Mayo,NETAS,-16.4,millones_usd,reservas_internacionales.xlsx
1991-06-30,1991,6,Junio,NETAS,40.3,millones_usd,reservas_internacionales.xlsx
1991-07-31,1991,7,Julio,NETAS,31.3,millones_usd,reservas_internacionales.xlsx
1991-08-31,1991,8,Agosto,NETAS,105.3,millones_usd,reservas_internacionales.xlsx
1991-09-30,1991,9,Septiembre,NETAS,115.9,millones_usd,reservas_internacionales.xlsx
1991-10-31,1991,10,Octubre,NETAS,131.8,millones_usd,reservas_internacionales.xlsx
1991-11-30,1991,11,Noviembre,NETAS,178.6,millones_usd,reservas_internacionales.xlsx
1991-12-31,1991,12,Diciembre,NETAS,180.6,millones_usd,reservas_internacionales.xlsx
1992-01-31,1992,1,Enero,BRUTAS,516.0,millones_usd,reservas_internacionales.xlsx
1992-02-29,1992,2,Febrero,BRUTAS,523.4,millones_usd,reservas_internacionales.xlsx
1992-03-31,1992,3,Marzo,BRUTAS,454.9,millones_usd,reservas_internacionales.xlsx
1992-04-30,1992,4,Abril,BRUTAS,463.6,millones_usd,reservas_internacionales.xlsx
1992-05-31,1992,5,Mayo,BRUTAS,489.3,millones_usd,reservas_internacionales.xlsx
1992-06-30,1992,6,Junio,BRUTAS,467.6,millones_usd,reservas_internacionales.xlsx
1992-07-31,1992,7,Julio,BRUTAS,445.0,millones_usd,reservas_internacionales.xlsx
1992-08-31,1992,8,Agosto,BRUTAS,459.3,millones_usd,reservas_internacionales.xlsx
1992-09-30,1992,9,Septiembre,BRUTAS,453.8,millones_usd,reservas_internacionales.xlsx
1992-10-31,1992,10,Octubre,BRUTAS,468.3,millones_usd,reservas_internacionales.xlsx
1992-11-30,1992,11,Noviembre,BRUTAS,466.7,millones_usd,reservas_internacionales.xlsx
1992-12-31,1992,12,Diciembre,BRUTAS,580.8,millones_usd,reservas_internacionales.xlsx
1992-01-31,1992,1,Enero,NETAS,202.9,millones_usd,reservas_internacionales.xlsx
1992-02-29,1992,2,Febrero,NETAS,233.4,millones_usd,reservas_internacionales.xlsx
1992-03-31,1992,3,Marzo,NETAS,241.8,millones_usd,reservas_internacionales.xlsx
1992-04-30,1992,4,Abril,NETAS,259.9,millones_usd,reservas_internacionales.xlsx
1992-05-31,1992,5,Mayo,NETAS,274.4,millones_usd,reservas_internacionales.xlsx
1992-06-30,1992,6,Junio,NETAS,258.6,millones_usd,reservas_internacionales.xlsx
1992-07-31,1992,7,Julio,NETAS,224.9,millones_usd,reservas_internacionales.xlsx
1992-08-31,1992,8,Agosto,NETAS,240.5,millones_usd,reservas_internacionales.xlsx
1992-09-30,1992,9,Septiembre,NETAS,229.8,millones_usd,reservas_internacionales.xlsx
1992-10-31,1992,10,Octubre,NETAS,250.5,millones_usd,reservas_internacionales.xlsx
1992-11-30,1992,11,Noviembre,NETAS,250.9,millones_usd,reservas_internacionales.xlsx
1992-12-31,1992,12,Diciembre,NETAS,306.0,millones_usd,reservas_internacionales.xlsx
1993-01-31,1993,1,Enero,BRUTAS,579.5,millones_usd,reservas_internacionales.xlsx
1993-02-28,1993,2,Febrero,BRUTAS,589.0,millones_usd,reservas_internacionales.xlsx
1993-03-31,1993,3,Marzo,BRUTAS,592.0,millones_usd,reservas_internacionales.xlsx
1993-04-30,1993,4,Abril,BRUTAS,609.4,millones_usd,reservas_internacionales.xlsx
1993-05-31,1993,5,Mayo,BRUTAS,619.7,millones_usd,reservas_internacionales.xlsx
1993-06-30,1993,6,Junio,BRUTAS,641.5,millones_usd,reservas_internacionales.xlsx
1993-07-31,1993,7,Julio,BRUTAS,700.7,millones_usd,reservas_internacionales.xlsx
1993-08-31,1993,8,Agosto,BRUTAS,714.2,millones_usd,reservas_internacionales.xlsx
1993-09-30,1993,9,Septiembre,BRUTAS,738.8,millones_usd,reservas_internacionales.xlsx
1993-10-31,1993,10,Octubre,BRUTAS,710.4,millones_usd,reservas_internacionales.xlsx
1993-11-30,1993,11,Noviembre,BRUTAS,643.4,millones_usd,reservas_internacionales.xlsx
1993-12-31,1993,12,Diciembre,BRUTAS,736.0,millones_usd,reservas_internacionales.xlsx
1993-01-31,1993,1,Enero,NETAS,320.5,millones_usd,reservas_internacionales.xlsx
1993-02-28,1993,2,Febrero,NETAS,332.1,millones_usd,reservas_internacionales.xlsx
1993-03-31,1993,3,Marzo,NETAS,340.7,millones_usd,reservas_internacionales.xlsx
1993-04-30,1993,4,Abril,NETAS,369.6,millones_usd,reservas_internacionales.xlsx
1993-05-31,1993,5,Mayo,NETAS,376.0,millones_usd,reservas_internacionales.xlsx
1993-06-30,1993,6,Junio,NETAS,405.8,millones_usd,reservas_internacionales.xlsx
1993-07-31,1993,7,Julio,NETAS,412.5,millones_usd,reservas_internacionales.xlsx
1993-08-31,1993,8,Agosto,NETAS,423.7,millones_usd,reservas_internacionales.xlsx
1993-09-30,1993,9,Septiembre,NETAS,448.5,millones_usd,reservas_internacionales.xlsx
1993-10-31,1993,10,Octubre,NETAS,429.2,millones_usd,reservas_internacionales.xlsx
1993-11-30,1993,11,Noviembre,NETAS,361.8,millones_usd,reservas_internacionales.xlsx
1993-12-31,1993,12,Diciembre,NETAS,437.9,millones_usd,reservas_internacionales.xlsx
1994-01-31,1994,1,Enero,BRUTAS,685.6,millones_usd,reservas_internacionales.xlsx
1994-02-28,1994,2,Febrero,BRUTAS,637.4,millones_usd,reservas_internacionales.xlsx
1994-03-31,1994,3,Marzo,BRUTAS,574.8,millones_usd,reservas_internacionales.xlsx
1994-04-30,1994,4,Abril,BRUTAS,568.7,millones_usd,reservas_internacionales.xlsx
1994-05-31,1994,5,Mayo,BRUTAS,480.2,millones_usd,reservas_internacionales.xlsx
1994-06-30,1994,6,Junio,BRUTAS,429.6,millones_usd,reservas_internacionales.xlsx
1994-07-31,1994,7,Julio,BRUTAS,399.2,millones_usd,reservas_internacionales.xlsx
1994-08-31,1994,8,Agosto,BRUTAS,270.6,millones_usd,reservas_internacionales.xlsx
1994-09-30,1994,9,Septiembre,BRUTAS,316.7,millones_usd,reservas_internacionales.xlsx
1994-10-31,1994,10,Octubre,BRUTAS,339.5,millones_usd,reservas_internacionales.xlsx
1994-11-30,1994,11,Noviembre,BRUTAS,354.4,millones_usd,reservas_internacionales.xlsx
1994-12-31,1994,12,Diciembre,BRUTAS,384.6,millones_usd,reservas_internacionales.xlsx
1994-01-31,1994,1,Enero,NETAS,386.1,millones_usd,reservas_internacionales.xlsx
1994-02-28,1994,2,Febrero,NETAS,351.2,millones_usd,reservas_internacionales.xlsx
1994-03-31,1994,3,Marzo,NETAS,293.0,millones_usd,reservas_internacionales.xlsx
1994-04-30,1994,4,Abril,NETAS,287.2,millones_usd,reservas_internacionales.xlsx
1994-05-31,1994,5,Mayo,NETAS,204.0,millones_usd,reservas_internacionales.xlsx
1994-06-30,1994,6,Junio,NETAS,164.7,millones_usd,reservas_internacionales.xlsx
1994-07-31,1994,7,Julio,NETAS,125.1,millones_usd,reservas_internacionales.xlsx
1994-08-31,1994,8,Agosto,NETAS,-62.4,millones_usd,reservas_internacionales.xlsx
