fecha,anio,mes,mes_nombre,tasa_politica_monetaria,facilidad_permanente_deposito,facilidad_permanente_prestamo,facilidad_permanente_lombarda,unidad,fuente_archivo
2004-01-31,2004,1,Ene,0.45,0.45,,0.55,porcentaje_anual,Serie_TPM(1).xlsx
2004-02-29,2004,2,Feb,0.5,0.5,,0.6,porcentaje_anual,Serie_TPM(1).xlsx
2004-03-31,2004,3,Mar,0.5,0.5,,0.6,porcentaje_anual,Serie_TPM(1).xlsx
2004-04-30,2004,4,Abr,0.5,0.5,,0.6,porcentaje_anual,Serie_TPM(1).xlsx
2004-05-31,2004,5,May,0.15,0.15,,0.6,porcentaje_anual,Serie_TPM(1).xlsx
2004-06-30,2004,6,Jun,0.15,0.15,,0.6,porcentaje_anual,Serie_TPM(1).xlsx
2004-07-31,2004,7,Jul,0.15,0.15,,0.6,porcentaje_anual,Serie_TPM(1).xlsx
2004-08-31,2004,8,Ago,0.15,0.15,,0.6,porcentaje_anual,Serie_TPM(1).xlsx
2004-09-30,2004,9,Sep,0.15,0.15,,0.6,porcentaje_anual,Serie_TPM(1).xlsx
2004-10-31,2004,10,Oct,0.1,0.1,,0.45,porcentaje_anual,Serie_TPM(1).xlsx
2004-11-30,2004,11,Nov,0.1,0.1,,0.45,porcentaje_anual,Serie_TPM(1).xlsx
2004-12-31,2004,12,Dic,0.07,0.07,,0.45,porcentaje_anual,Serie_TPM(1).xlsx
2005-01-31,2005,1,Ene,0.04,0.04,,0.45,porcentaje_anual,Serie_TPM(1).xlsx
2005-02-28,2005,2,Feb,0.04,0.04,,0.45,porcentaje_anual,Serie_TPM(1).xlsx
2005-03-31,2005,3,Mar,0.04,0.04,,0.45,porcentaje_anual,Serie_TPM(1).xlsx
2005-04-30,2005,4,Abr,0.04,0.04,,0.45,porcentaje_anual,Serie_TPM(1).xlsx
2005-05-31,2005,5,May,0.08,0.08,,0.38,porcentaje_anual,Serie_TPM(1).xlsx
